Index,Name,Rarity,BPs,Harmony,Violence,Health,Power,Hex code
0,Blue,Common,300,2,0,0,0,A2F5F5
1,Blue-Grey,Common,300,0,2,0,0,6D9295
2,Default Green,Common,500,0,0,20,0,E1E3A4
3,Green,Common,500,0,0,0,2,B9FF98
4,Grey!,Rare,500,3,0,0,0,867C7F
5,Hot Pink,Common,500,1,1,0,0,FC5BA3
6,Lavender!,Rare,300,0,3,0,0,C1A6FF
7,BOG,Epic,300,1,1,10,1,
8,"BOSD ",Epic,500,3,1,0,0,
9,GOB,Epic,500,0,3,10,0,
10,PURPLE!!!,Epic,300,0,0,30,1,
11,RED!!!,Epic,300,0,3,0,1,
12,GREY!!!!,Epic,500,0,0,1,3,
13,Mustard,Common,400,1,0,10,0,F5D769
14,Orange,Common,300,1,0,0,1,FF901C
15,Pink,Common,300,0,1,10,0,F09EE7
16,Purple,Common,300,0,1,15,0,C38DD9
17,Red!,Rare,300,0,0,30,0,D1412C
18,Rust,Common,300,0,0,10,1,BD685B
19,White!,Rare,300,0,0,0,3,F7F2ED
20,Yellow,Common,300,0,1,0,1,FFF981
