Index,Image,Name,Affinity,Rarity,Tier,Tuning,Health,Power,Violence,Harmony,Slots,BPs
21,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_melted_default_green_0000.png,Melted,Eerie,Common,9,4,20,0,0,2,0,
20,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_crab_default_green_0000.png,Crab,Insect,Rare,7,6,0,0,6,0,0,
19,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_torus_default_green_0000.png,Torus,Normal,Epic,6,8,0,4,0,4,0,
18,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_gun_0000.png,Guns,Normal,Rare,7,7,0,0,7,0,0,
17,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_plant_default_green_0000.png,Plant,Normal,Common,8,4,0,2,0,2,0,
16,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_mole_cricket_default_green_0000.png,Mole Cricket,Insect,Rare,7,6,0,3,0,3,0,
15,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_wrenches_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/wrenches_alternatively_known_as_5_dollar_attack.png",Wrenches,Scrap,Common,9,4,0,0,4,0,0,750
14,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_ufo_catcher_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/catcher_claws.png",UFO Catcher,Scrap,Rare,7,6,0,0,3,3,0,250
13,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_toasters_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/toasters.png",Toasters,Scrap,Rare,7,6,0,3,0,3,0,250
12,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_tentacles_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/tentacles.png",Tentacles,Eerie,Rare,7,6,0,3,3,0,0,500
11,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_scorpion_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/scorpion_claws.png",Scorpion,Insect,Common,9,4,0,0,4,0,0,500
10,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_plugs_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/plugs.png",Plugs,Scrap,Common,9,4,10,1,0,2,0,750
9,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_paws_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/paws.png",Paws,Normal,Common,9,4,0,0,2,2,0,1550
8,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_mantis_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/mantis.png",Mantis,Insect,Epic,6,8,0,0,8,0,0,100
7,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_insect_basic_default_green_0000.png,Beetle,Insect,Common,9,4,0,0,2,2,0,1500
6,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_fan_front_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_fan_back_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/fan_blades.png",Fan Blades,Scrap,Epic,6,9,30,0,3,3,0,100
5,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_eyeballs_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/eyes.png",Eyeballs,Eerie,Rare,7,6,0,6,0,0,0,750
4,"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_default_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/default.png",Orbs,Normal,Common,9,4,20,2,0,0,0,1550
3,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_coins_static_default_green_0000.png,Coins,Normal,Common,8,4,30,1,0,0,0,550
2,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_coins_default_green_0000.png,Spinning Coins,Normal,Rare,7,6,30,3,0,0,0,50
1,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_claws_default_green_0000.png,Spectral,Eerie,Common,9,4,0,1,3,0,0,750
0,Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_candles_default_green_0000.png,Candles,Eerie,Epic,6,8,0,8,0,0,0,100
