y,z,-1,0,1,2
1,1,,,Misty Riverside (https://www.notion.so/Misty-Riverside-36c68d06a812460099874836e90fcb9a?pvs=21),
2,1,,,Tunnel of Trees (https://www.notion.so/Tunnel-of-Trees-9c0e73fd74734ff5af16f31794b3c16d?pvs=21),
3,1,,,Torii Gate (https://www.notion.so/Torii-Gate-6a2c43e6577f4b03b1a63555f604b9de?pvs=21),
4,1,,,Vending Machine (https://www.notion.so/Vending-Machine-b19d7987a79748af88ca54355d1540f7?pvs=21),Machine Node (https://www.notion.so/Machine-Node-c632a52ee2024d0eaf1b6976fdfc4abf?pvs=21)
5,1,,Forest: Old Growth (https://www.notion.so/Forest-Old-Growth-3dad9c735cb84705a63e141fe2a20c60?pvs=21),Restricted Area (https://www.notion.so/Restricted-Area-63c3c64bade3455da3998bd6e2250d9e?pvs=21),
6,1,,,Labs Entrance (https://www.notion.so/Labs-Entrance-373dd0841342413f9255f4ff789323e6?pvs=21),
7,1,,,Hallway 6  (https://www.notion.so/Hallway-6-8a38c7309fbf4a4293b0ffcf9dba5491?pvs=21),
8,1,,Manager’s Office (https://www.notion.so/Manager-s-Office-1aa0ae2bd5e644258d24d881af353b18?pvs=21),Junk Shop (https://www.notion.so/Junk-Shop-73fb11bfdaa44f738dffa474bb5d3a8f?pvs=21),
9,1,,,,
10,1,,,,
