,Index,Name,Enabled,Z,Y,X,Exits,All Exits,Status,Tags,Description,Files & media
,0,deadzone,true,0,0,0,1,1[Z1],To Implement,,This room is for debugging! You may not enter.,
,1,Misty Riverside,true,1,1,3,20,"20[Z2], 29",To Implement,Spawn,"You’ve no memory of arriving here. The air is quiet, and the trees grow so thick overhead that it would be dark at noon.",Rooms%204281fd84407147de8d1fe5b14b37327c/room1a.png
,2,Tunnel of Trees,true,1,3,3,,"3,13, 29",To Implement,,"You see the light at the end of the tunnel; a way out of the forest. Also, you see a blue door made of light. It says “SHOP”.","Rooms%204281fd84407147de8d1fe5b14b37327c/room2a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room2b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room2c.png"
,3,Torii Gate,true,1,4,3,,"2, 30",To Implement,Node,The end of the road. This gate seems to mark the transition between the misty forest and the massive scrapyard.,"Rooms%204281fd84407147de8d1fe5b14b37327c/room3a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room3b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room3c.png"
,4,Vending Machine,true,1,6,3,,"30, 34, 47",To Implement,Mint,Deep in the scrap you find a vending machine well stocked and operating. Behind it you see the power cord is cut off.,"Rooms%204281fd84407147de8d1fe5b14b37327c/room4a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room4b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room4c.png"
,5,Restricted Area,true,1,9,3,,"31, 32",To Implement,,A restricted area. Follow the road lined with cherry trees to reach an office complex. Across from the office is another forest.,"Rooms%204281fd84407147de8d1fe5b14b37327c/room5a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room5b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room5c.png"
,6,Labs Entrance,true,1,10,4,28,"28[Z5], 32",To Implement,,This exterior seems designed to resemble a shrine almost as much as it does a corporate office building.,"Rooms%204281fd84407147de8d1fe5b14b37327c/room6a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room6b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room6c.png"
,7,"Hallway 6 ",false,5,,,,"41, 14",Needs Editing,Node,"The doors close around a sparsely decorated lobby. A blue roof and white walls, with blue skirting framing an elevator. ",Rooms%204281fd84407147de8d1fe5b14b37327c/room7a.png
,8,Junk Shop,false,5,,,,38,Needs Editing,Equip Shop,The electrical room in the basement has been converted into a living space and workshop. Do people live like this?,Rooms%204281fd84407147de8d1fe5b14b37327c/room8a.png
,9,Forest: Old Growth,true,1,8,5,,"33, 36, 48",To Implement,,You step into the forest and seem to enter a primordial age. The buzz of giant insects overwhelms your hearing.,"Rooms%204281fd84407147de8d1fe5b14b37327c/room9a.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room9b.png, Rooms%204281fd84407147de8d1fe5b14b37327c/room9c.png"
