[dont remove],Index,Name,Status,Class,Tree,Tier,Cost per level,Max Lvl,Effect,Description,Author,ConType,ConSubtype,ConIndex,ConValue,Pre-requisites,Type
,111,Bandit,For Implementation,Skill,Predator,1,1,3,-20s Attack/Entry CD / Level,"Quicker reflexes allow a Kamigotchi to get the jump more often.  ",,,,,,Acquisitiveness - Level 3,Power
,111,,For Implementation,Effect,,,,,,,,STD,COOLDOWN,,-20,,
,112,Aggression,For Implementation,Skill,Predator,1,1,5,+1 Violence / Level,"It’s possible to deliberately stoke the fires of Violence in Kami by traumatizing them in a very specific set of ways. ",,,,,,n/a,Violence
,112,,For Implementation,Effect,,,,,,,,STAT,VIOLENCE,,1,,
,113,Specialist,For Implementation,Skill,Predator,1,1,3,+10% Positive Affinity Multiplier,Some Kami are particularly talented at preying on the weaknesses of others. They’re just like human beings in that way.,,,,,,Aggression - Level 3,Violence
,113,,For Implementation,Effect,,,,,,,,ATK,THRESHOLD_RATIO,,50,,
,121,Sniper,For Implementation,Skill,Predator,2,1,3,-20s Attack/Entry CD / Level,Careful assessment can allow a Kami to move on a Node more quickly. A product of experience…,,,,,,Aggression - Level 3,Violence
,121,,For Implementation,Effect,,,,,,,,STD,COOLDOWN,,-20,,
,122,Lethality,For Implementation,Skill,Predator,2,2,3,+5% Liquidation Thresh on Attack,"Liquidating a Kamigotchi requires a certain firmness of intent. This is that kind of intent. ",,,,,,Warmonger - Level 3,Violence
,122,,For Implementation,Effect,,,,,,,,ATK,THRESHOLD_SHIFT,,50,,
,123,Mercenary,For Implementation,Skill,Predator,2,1,3,+1 Power / Level,"""Why not make some money while we’re at it?”",,,,,,,
,123,,For Implementation,Effect,,,,,,,,STAT,POWER,,1,,
,123,,For Implementation,Effect,,,,,,,,STAT,VIOLENCE,,1,,
,131,Bounty Hunter,For Implementation,Skill,Predator,3,2,1,+30% Bounty (ME),"It takes skill to extract MUSU from a Kami during the liquidation process. With practice, a Kami can draw out the final moments of their victim for greater cash-efficiency. ",,,,,,,
,131,,For Implementation,Requirement,,,,,ME implementation,,,SKILL,CURR_MAX,133,0,,
,131,,For Implementation,Effect,,,,,,,,ATK,SPOILS_RATIO,,300,,
,132,Warmonger,For Implementation,Skill,Predator,3,2,5,+1 Violence / Level,"More fighting, more violence, more fighting, more violence. ",,,,,,Aggression - Level 3,Violence
,133,Hunter,For Implementation,Skill,Predator,3,2,1,+25% Positive Affinity Multiplier (ME),"With practice, exploitation of weakness only becomes easier.",,,,,,"Predator - Level 3 ",Violence
,133,,For Implementation,Requirement,,,,,ME implementation,,,SKILL,CURR_MAX,131,0,,
