Image,Index,Name,Affinity,Rarity,Tier,Tuning,Health,Power,Violence,Harmony,Slots
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_candles_default_green_0000.png,0,Candles,Eerie,Epic,6,8,0,8,0,0,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_claws_default_green_0000.png,1,Spectral,Eerie,Common,9,4,0,1,3,0,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_coins_default_green_0000.png,2,Spinning Coins,Normal,Rare,7,6,30,3,0,0,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_coins_static_default_green_0000.png,3,Coins,Normal,Common,8,4,30,1,0,0,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_default_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/default.png",4,Orbs,Normal,Common,9,4,20,2,0,0,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_eyeballs_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/eyes.png",5,Eyeballs,Eerie,Rare,7,6,0,6,0,0,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_fan_front_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_fan_back_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/fan_blades.png",6,Fan Blades,Scrap,Epic,6,9,30,0,3,3,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_insect_basic_default_green_0000.png,7,Beetle,Insect,Common,9,4,0,0,2,2,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_mantis_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/mantis.png",8,Mantis,Insect,Epic,6,8,0,0,8,0,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_paws_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/paws.png",9,Paws,Normal,Common,9,4,0,0,2,2,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_plugs_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/plugs.png",10,Plugs,Scrap,Common,9,4,10,1,0,2,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_scorpion_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/scorpion_claws.png",11,Scorpion,Insect,Common,9,4,0,0,4,0,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_tentacles_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/tentacles.png",12,Tentacles,Eerie,Rare,7,6,0,3,3,0,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_toasters_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/toasters.png",13,Toasters,Scrap,Rare,7,6,0,3,0,3,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_ufo_catcher_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/catcher_claws.png",14,UFO Catcher,Scrap,Rare,7,6,0,0,3,3,0
"Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_wrenches_default_green_0000.png, Hand%20c3f0ea61431749dab62a867a500a4c3e/wrenches_alternatively_known_as_5_dollar_attack.png",15,Wrenches,Scrap,Common,9,4,0,0,4,0,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_mole_cricket_default_green_0000.png,16,Mole Cricket,Insect,Rare,7,6,0,3,0,3,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_plant_default_green_0000.png,17,Plant,Normal,Common,8,4,0,2,0,2,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_gun_0000.png,18,Guns,Normal,Rare,7,7,0,0,7,0,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_torus_default_green_0000.png,19,Torus,Normal,Epic,6,8,0,4,0,4,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_crab_default_green_0000.png,20,Crab,Insect,Rare,7,6,0,0,6,0,0
Hand%20c3f0ea61431749dab62a867a500a4c3e/hands_melted_default_green_0000.png,21,Melted,Eerie,Common,9,4,20,0,0,2,0
