Name,Index,Hex code,Rarity,Harmony,Violence,Health,Power
Blue,0,A2F5F5,Common,,,,
Blue-Grey,1,6D9295,Common,,,,
BOSD Binary 1,8,,Epic,,,,
BOSD Binary 2,14,,Epic,,,,
Classic Binary 1,9,,Rare,,,,
Classic Binary 2,15,,Rare,,,,
Default Green,2,E1E3A4,Common,,,,
Grayscale Binary 1,12,,Epic,,,,
Grayscale Binary 2,18,,Epic,,,,
Green,3,B9FF98,Common,,,,
Grey,4,867C7F,Common,,,,
Hot Pink,5,FC5BA3,Common,,,,
Inverted Binary 1,7,,Rare,,,,
Inverted Binary 2,13,,Rare,,,,
Lavender,6,C1A6FF,Common,,,,
Mustard,19,F5D769,Common,,,,
Orange,20,FF901C,Common,,,,
Pink,21,F09EE7,Common,,,,
Purple,22,C38DD9,Common,,,,
Purple Binary 1,10,,Epic,,,,
Purple Binary 2,16,,Epic,,,,
"Red ",23,D1412C,Common,,,,
Red Binary 1,11,,Rare,,,,
Rust,24,BD685B,Common,,,,
White,25,F7F2ED,Common,,,,
Yellow,26,FFF981,Common,,,,
Red Binary 2,17,,Rare,,,,
