Name,Index,Image,Rarity,Type,Power,Violence,HP,Harmony,Slots
._.,0,Face%2056d32cbb9f9748d7a241fb622148a4e5/Default.png,Common,Normal,,,,,
.w.,1,Face%2056d32cbb9f9748d7a241fb622148a4e5/w_face.png,Common,Normal,,,,,
n_n,2,Face%2056d32cbb9f9748d7a241fb622148a4e5/Happy_face.png,Rare,Normal,,,,,
>_>,3,Face%2056d32cbb9f9748d7a241fb622148a4e5/annoyed_face.png,Common,Normal,,,,,
^-^,4,Face%2056d32cbb9f9748d7a241fb622148a4e5/joyful.png,Common,Normal,,,,,
v_v,5,Face%2056d32cbb9f9748d7a241fb622148a4e5/dissaproval.png,Common,Normal,,,,,
O_o,7,Face%2056d32cbb9f9748d7a241fb622148a4e5/Oo_face.png,Common,Normal,,,,,
o_O,6,Face%2056d32cbb9f9748d7a241fb622148a4e5/oO_face2.png,Common,Normal,,,,,
-_-,8,Face%2056d32cbb9f9748d7a241fb622148a4e5/-_-_face.png,Common,Normal,,,,,
"x_x ",9,Face%2056d32cbb9f9748d7a241fb622148a4e5/x_x.png,Common,Normal,,,,,
o_o,10,Face%2056d32cbb9f9748d7a241fb622148a4e5/o_o.png,Common,Normal,,,,,
O_O,11,Face%2056d32cbb9f9748d7a241fb622148a4e5/O_O2.png,Common,Normal,,,,,
Teddybear happy,12,Face%2056d32cbb9f9748d7a241fb622148a4e5/cat_face_happy.png,Rare,Normal,,,,,
Disapproval lenny face ಠ_ಠ,13,Face%2056d32cbb9f9748d7a241fb622148a4e5/lenny_face_concerned.png,Rare,Normal,,,,,
Heart eyes,14,Face%2056d32cbb9f9748d7a241fb622148a4e5/heart_eyes_and_smile.png,Common,Normal,,,,,
Impacted O_O,15,Face%2056d32cbb9f9748d7a241fb622148a4e5/Impacted_OO.png,Rare,Normal,,,,,
Sideeye O_O,16,Face%2056d32cbb9f9748d7a241fb622148a4e5/sideeye_oo.png,Common,Normal,,,,,
Lenny face 1,17,Face%2056d32cbb9f9748d7a241fb622148a4e5/lenny_face1.png,Rare,Normal,,,,,
:3,18,Face%2056d32cbb9f9748d7a241fb622148a4e5/twodots3.png,Common,Normal,,,,,
Unamused,19,Face%2056d32cbb9f9748d7a241fb622148a4e5/sideeye.png,Rare,Normal,,,,,
OuO,20,Face%2056d32cbb9f9748d7a241fb622148a4e5/OO_with_smile.png,Rare,Normal,,,,,
Concerned ._.,21,Face%2056d32cbb9f9748d7a241fb622148a4e5/concerned_with_eyebrows.png,Common,Normal,,,,,
Lenny face 2,22,Face%2056d32cbb9f9748d7a241fb622148a4e5/lenny_face2.png,Epic,Normal,0,0,0,0,1
Teddybear Face,23,Face%2056d32cbb9f9748d7a241fb622148a4e5/cat_face..png,Rare,Normal,,,,,
Goggles,28,Face%2056d32cbb9f9748d7a241fb622148a4e5/futuristic_eye_goggles.png,Epic,Scrap,0,0,0,5,0
Nuts and Bolts,27,Face%2056d32cbb9f9748d7a241fb622148a4e5/ionknow.png,Rare,Scrap,0,0,0,3,0
Insect eyes normal,25,Face%2056d32cbb9f9748d7a241fb622148a4e5/insect_eyes_normal.png,Rare,Insect,0,3,0,0,0
Insect eyes angry,26,Face%2056d32cbb9f9748d7a241fb622148a4e5/insect_eyes_angry.png,Epic,Insect,0,5,0,0,0
Tongue 1,29,Face%2056d32cbb9f9748d7a241fb622148a4e5/big_tongue.png,Epic,Eerie,6,0,0,0,0
Tongue 2,30,Face%2056d32cbb9f9748d7a241fb622148a4e5/big_tongue.png,Epic,Eerie,6,0,0,0,0
Melting face,24,Face%2056d32cbb9f9748d7a241fb622148a4e5/melting.png,Rare,Eerie,3,0,0,0,0
