Title,Index,Status,Introduction text,Objectives,Community Reward,Bronze Qualifier,Silver Qualifier,Gold Qualifier,Bronze Reward,Silver Reward,Gold Reward,Exit Opened In,Goal Location,Exit To,🥫 Item Added
"A hole in reality? ",1,Ingame,"The path beyond this point is blocked by some kind of…. glitched-out gate? 

You won’t be able to pass without using MUSU to stabilize this hole in reality. Looks like this one is going to need to be a team effort….",1000000 MUSU,Door unlock,500,1000,3333,"3 REPUTATION, 10 Cultivation 1 Spell Cards","3 REPUTATION, 10 Melkarth’s Heroic Awakening Spell Cards","3 REPUTATION, Astrolabe Disk",Scrap Paths (https://www.notion.so/Scrap-Paths-1b90220c3884812ba96dd4d9a014526c?pvs=21),Scrap Paths (https://www.notion.so/Scrap-Paths-1b90220c3884812ba96dd4d9a014526c?pvs=21),Scrapyard Exit (https://www.notion.so/Scrapyard-Exit-1b90220c388481b3814fe60ccaddbccb?pvs=21),
Deep-Forest Ritual,3,Ingame,"The insect hive here has begun to take on a strange aura. Sacred sites like this demand tribute…. 

By contributing MUSU to the ritual, you will be rewarded. With enough MUSU, a new path will open for all of us. ",2000000 MUSU,Door Unlock,1000,2000,6666,"3 REPUTATION, 10 Cultivation 2 Spell Cards","3 REPUTATION, 20 Neith’s River of Life Spell Cards","3 REPUTATION, Ancient Machine Part",Forest: Insect Node (https://www.notion.so/Forest-Insect-Node-1b90220c3884813f98a8f34a18571269?pvs=21),Forest: Insect Node (https://www.notion.so/Forest-Insect-Node-1b90220c3884813f98a8f34a18571269?pvs=21),Ancient Forest Entrance (https://www.notion.so/Ancient-Forest-Entrance-1b90220c388481a8ad67c1fd86b9ccc7?pvs=21),
Shrine to Nature,4,Ingame,"It looks like some sort of idol has sprouted from the cockpit… 

The idol needs tribute. Provide it with the resources it needs, and another way will open in the forest.",3000000 MUSU,Door Unlock,1500,3000,9999,"3 REPUTATION, 10 Cultivation 3 Spell Cards","3 REPUTATION, 10 Melkarth’s Heroic Awakening Spell Cards, 20 Neith’s River of Life Spell Cards","3 REPUTATION, Disk-Shaped Map",Scrap-Littered Undergrowth  (https://www.notion.so/Scrap-Littered-Undergrowth-1b90220c3884814e962efd3d161e3c65?pvs=21),Plane Interior (https://www.notion.so/Plane-Interior-1b90220c388481cf8036c7c48aad48b2?pvs=21),Blooming Tree (https://www.notion.so/Blooming-Tree-1b90220c38848193a79de19c0f4917b5?pvs=21),
Breaking Through,5,Ingame,"It’s not reasonable to drag those boulders back and forth by yourself. There’s got to be a faster way.

Maybe we can use acoustic resonance? Something in that wired-up temple near the entrance might work.",2000 Essence of Hearing,"Door Unlock, Room Art/Text change",7 Essence of Hearing,23 Essence of Hearing,42 Essence of Hearing,"3 REPUTATION, 10 Booster Packs. 1 Fortified XP Potion","3 REPUTATION, 20 Booster Packs, 3 Fortified XP Potion","3 REPUTATION, 30 Booster Packs, 5 Fortified XP potions",Boulder Tunnel (https://www.notion.so/Boulder-Tunnel-1fa0220c388480fc8994d34833d1beb5?pvs=21),Boulder Tunnel (https://www.notion.so/Boulder-Tunnel-1fa0220c388480fc8994d34833d1beb5?pvs=21),Slippery Pit (https://www.notion.so/Slippery-Pit-1fa0220c3884803fac35d2cfdc18c284?pvs=21),
Chopping It Up,6,Ingame,"The mushrooms blocking the exits grow back so fast that even if you cut them away, they’ll be back before you finish cutting. 

We need something that can have lasting physical effects. ",2000 Essence of Touch,"Door Unlock, Room Art/Text change",7 Essence of Touch,23 Essence of Touch,42 Essence of Touch,"3 REPUTATION, 10 Toadstool Liquors","3 REPUTATION, 15 Toadstool Liquors, 5 Sarcophagus Honey","3 REPUTATION, 25 Toadstool Liquors, 10 Sarcophagus Honey",Thriving Mushrooms (https://www.notion.so/Thriving-Mushrooms-1fa0220c388480cb8e9ffc2a927e5d0e?pvs=21),Thriving Mushrooms (https://www.notion.so/Thriving-Mushrooms-1fa0220c388480cb8e9ffc2a927e5d0e?pvs=21),"Toadstool Platforms (https://www.notion.so/Toadstool-Platforms-1fa0220c38848091b319ec71a9d90fd6?pvs=21), Reinforced Tunnel (https://www.notion.so/Reinforced-Tunnel-1fa0220c388480778ed2e80f3b29696b?pvs=21)",
Titanic Offering,7,Ingame,"You should be able to squeeze past that hand, but the darkness is impenetrable. It’s almost like a physical barrier. 

Maybe something in these caves can light it up. Even if we don’t get through, we can get a peek.",2000 Essence of Sight,"Door Unlock, Room Art/Text change",7 Essence of Sight,23 Essence of Sight,42 Essence of Sight,"3 LOYALTY, 10 Wonder Eggs, 10 Cleaning Fluid","3 LOYALTY, 20 Wonder Eggs, 15 Booster Packs","3 LOYALTY, 30 Wonder Eggs, 25 Booster Packs",Giant’s Palm (https://www.notion.so/Giant-s-Palm-1fa0220c3884801e91ead22f7e0a3425?pvs=21),Giant’s Palm (https://www.notion.so/Giant-s-Palm-1fa0220c3884801e91ead22f7e0a3425?pvs=21),Guardian Skull (https://www.notion.so/Guardian-Skull-1fa0220c388480d2b8e1d2f939bcb36f?pvs=21),
Secret Teachings of the Ages,8,Ingame,"Whatever lies behind this door must be really important. There are layers of energy fields blocking us off. Some of these I can’t even recognize…

Mina says it needs to recognize its people and remember its history. If the door feels like it’s the right time and place, it’ll open. Providing that sensation is going to be pretty hard, but you can do it!",500 Pure Essence,"Door Unlock, Room Art/Text change",2 Pure Essence,6 Pure Essence,11 Pure Essence,"3 LOYALTY, 22 Booster Packs, 2 Fortified XP Potions","3 LOYALTY, 66 Wonder Eggs, 33 Toadstool Liquors","3 LOYALTY, 1 Mochi Lootbox",Engraved Door (https://www.notion.so/Engraved-Door-1fa0220c38848054b975d2e79d2ee6df?pvs=21),Engraved Door (https://www.notion.so/Engraved-Door-1fa0220c38848054b975d2e79d2ee6df?pvs=21),Temple of the Wheel (https://www.notion.so/Temple-of-the-Wheel-1b90220c388481528f4bfb1bc5cd3b61?pvs=21),
Just a Little Snack,9,For Implementation,"I thought that little creature on the pedestal was stuffed, but I can hear him whispering to us. Can you make it out?

It’s saying that it’s hungry and hasn’t eaten in a long time. Why not eat the apples here? It says it doesn’t like them. 

The little thing is kind of cute. Maybe we could share something?",5000 Cheeseburgers,"Pwca Questline unlocked globally, Room Art/Text change",18 Cheeseburgers,60 Cheeseburgers,100 Cheeseburgers,3 Mint,7 Black Poppy,12 Red Amber Crystal,,Trophies of the Hunt (https://www.notion.so/Trophies-of-the-Hunt-2580220c38848098ade9d9b808a20983?pvs=21),,
,,Idea,,,,,,,,,,,,,
,,Idea,,,,,,,,,,,,,
Battle Against a Prototype Kami,,Shelved,,,"Door Unlock, Room Art/Text change",,,,,,,,,,
