.,Status,Name,Index,Type,Rarity,For,Flags,Effects,Requirements,Description
,In Game,MUSU,1,Misc,Common,,,,,Kamigotchi kurrency
,In Game,VIPP,2,Consumable,Common,Account,,VIP1,VIP_ROOM,"Sacred paper which can be sacrificed for VIP status. "
,In Game,Gacha Ticket,10,Misc,Legendary,,,,,"Redeemable for one Kami. You should take this to the vending machine… "
,In Game,Reroll Ticket,11,Misc,Epic,,,,,"Allows you to reroll a Kami once. You should take this to the vending machine… "
,In Game,Kamigotchi World Passport (Yellow),20,NFT,Rare,,,,,Your ticket to great fortunes. In yellow.
,In Game,Kamigotchi World Passport (Orange),21,NFT,Rare,,,,,Your ticket to great fortunes. In orange.
,In Game,Kamigotchi World Passport (Pink),22,NFT,Rare,,,,,Your ticket to great fortunes. In pink.
,In Game,Kamigotchi World Passport (Red),23,NFT,Rare,,,,,"Your ticket to great fortunes. In red. "
,In Game,Kamigotchi World Passport (Blue),24,NFT,Rare,,,,,"Your ticket to great fortunes. In blue. "
,In Game,Kamigotchi World Passport (Green),25,NFT,Rare,,,,,Your ticket to great fortunes. In green.
,In Game,Kamigotchi World Passport (White),26,NFT,Epic,,,,,Your ticket to great fortunes. In white.
,In Game,Kamigotchi World Passport (Grey),27,NFT,Epic,,,,,Your ticket to great fortunes. In grey.
,In Game,Kamigotchi World Passport (Purple),28,NFT,Epic,,,,,Your ticket to great fortunes. In purple.
,In Game,Kamigotchi World Passport (Lime Green),29,NFT,Epic,,,,,Your ticket to great fortunes. In lime green.
,In Game,Kamigotchi World Passport (1-bit Red and White),30,NFT,Legendary,,,,,Your ticket to great fortunes. In 1-bit red.
,In Game,Kamigotchi World Passport (1-bit Pink),31,NFT,Legendary,,,,,Your ticket to great fortunes. In 1-bit pink.
,In Game,Kamigotchi World Passport (1-bit Green),32,NFT,Legendary,,,,,Your ticket to great fortunes. In 1-bit green.
,In Game,Kamigotchi World Passport (1-bit Black and White),33,NFT,Legendary,,,,,Your ticket to great fortunes. In 1-bit black.
,In Game,Onyx Shard,100,ERC20,Uncommon,,,,,"Kamigotchi World’s premium game currency.

You want this. You want this so bad."
,In Game,Wooden Stick,1001,Material,Common,,,,,"Wood in its unprocessed form. Grows on trees. "
,In Game,Stone,1002,Material,Common,,,,,"It’s just a stone. Can be used to get Stone. "
,In Game,Plastic Bottle,1003,Material,Uncommon,,,,,"Can be reprocessed into valuable raw Microplastics. "
,In Game,Pine Cone,1004,Material,Uncommon,,,,,"It’s a pine cone. 

Slightly sacred. "
,In Game,Scrap Metal,1005,Material,Common,,,,,A small chunk of scrap metal. Maybe useful if processed.
,In Game,Glass Jar,1006,Material,Rare,,,,,"A somehow-unbroken jar of clear glass. "
,In Game,Red Amber Crystal,1007,Material,Epic,,,,,"A crystal of pure red amber, formed deep in the forest."
,In Game,Black Poppy,1010,Material,Rare,,,,,"You can’t tell whether it’s a very dark purple or actually black. A rare flower. "
,In Game,Daffodil,1011,Material,Uncommon,,,,,"A reflection of fallen Narcissus… Has its own uses and applications. "
,In Game,Mint,1012,Material,Epic,,,,,A herb with many applications. Not often found here….
