Key,Index,Status,Title,Daily,Introduction Dialogue,Requirements,Objectives,Rewards,Type,Giver
MSQ001,1,To Update,Welcome to Kamigotchi World,No,"MENU: “Hi there, Player! Welcome to Kamigotchi World!”
MENU: “You can call me Menu. I’ll be your guide!”
MENU: “I’ll also track your items, quests, and companions while you explore.”
MENU: “You can navigate by clicking on the map to pilot your Operator.”
MENU: “Start by exploring my options and clicking around the screen.”
MENU: “When you’ve seen the basics, we can move on.”",,,2x Agency Reputation,MAIN,MENU
MSQ002,2,To Update,Beginning Your Journey,No,"MENU: “Feel like you’re getting the hang of my interface?”
MENU: “Great! Now that you’re oriented, you can start exploring your surroundings. You move around by using the Map Menu at the top left of your screen.” 
MENU: “Navigate over to the scrapyard and check it out!”
MENU: “When you check back in with me. I’ll give you a Spell Card.”",Complete MSQ001,Move 3 Times,"1x ""Neith’s River of Life"" Spell Card",MAIN,MENU
MSQ003,3,To Update,Your First Kami,No,"MENU: “Now you’re oriented and on your feet, all you need to do is make friends with a Kami yourself!”
MENU: “Have you seen the Vending Machine out in the junkyard?”
MENU: “Believe it or not, we’ve got it powered on and fully stocked!”
MENU: “Don’t worry about how, just go get yourself a Kami.”",Complete MSQ002,Own 1 Kamigotchi,6x Agency Reputation,MAIN,MENU
MSQ004,4,To Update,What Kami Do: Harvesting,No,"MENU: “Kamigotchi will rest and stay healthy when being held. Being with an Operator seems to comfort them.”
MENU: “When you set a Kami down, they’ll hang out by the closest spiritual node.”
MENU: “A Kami on a node is considered to be Harvesting, but they’re not working up a sweat. It’s something that happens passively.”
MENU: “When your Kami is out in the world, they draw energy out of the environment and into themselves.”
MENU: “We call this energy $MUSU. I’ll explain more about it later.”
MENU: “You can wander around while your Kami harvest, but don’t forget where you left them! Tired Kami are vulnerable to predators.”",Complete MSQ003,Harvest for >5 minutes,1x “Cultivation I” Spell Card,MAIN,MENU
MSQ005,5,To Update,What Kami Do: Scavenging,No,"MENU: “$MUSU isn’t the only thing the Kamigotchi will collect.”
MENU: “Over time, the Harvesting action generates a force that draws objects and items to the Kami.”
MENU: “It’s like a kind of magnetism that only affects certain things.”
MENU: “Which things? It’s not clear. The selection changes based on your Kami’s location. Some are simply fallen sticks and old stones, but other items are more interesting.”
MENU: “We call this action “Scavenging”.”
MENU: “Try it out and see what kind of present the Kami brings you!”",Complete MSQ004,Scavenge 1 Item,4x Agency Reputation,MAIN,MENU
MSQ006,6,To Update,What Kami Do: Liquidating,No,"MENU: “If your Kami isn’t enjoying Harvesting, it may not be built for such a relaxed existence.”
MENU: “Kami with a high Violence stat are more content with a life of conflict.”
MENU: “These predatory Kami can use their wild, violent natures to Liquidate other Kami in combat.”
MENU: “Unlike Harvesting, this grants a large bounty of $MUSU at one time.”
MENU: “Give it a shot if you’ve got the Kami for it. I won’t judge!”
",Complete MSQ005,Liquidate another Kamigotchi,4x Agency Reputation,MAIN,MENU
MSQ007,7,To Update,Making $MUSU,No,"MENU: “$MUSU is a form of energy that exists everywhere in the universe.”
MENU: “The Kamigotchi World has a particularly high concentration. $MUSU is what keeps everything here tied together like the knots in a big rope net.”
MENU: “Collect a moderate amount of $MUSU, then I’ll explain more.""",Complete MSQ004,Collect 500 $MUSU,"4x Agency Reputation,1x “Cultivation I” Spell Card",MAIN,MENU
MSQ008,8,To Update,Supporting Local Businesses,No,"MENU: “Go spend some $MUSU just to get the hang of it.”
MENU: “If you need directions, there’s a shop through the door a little north of the vending machine.”
MENU: “I’ve heard it trades some interesting things!”
MENU: “When you’re done shopping, I’ll give you something extra.”
",Complete MSQ007,Buy something from any vendor using $MUSU,2x Agency Reputation,MAIN,MENU
MSQ009,9,To Update,Building a Reputation,No,"MENU: “This one is a more personal request.”
MENU: “I want to do some repairs. If you just give me the raw materials, I can fabricate the parts I need.”
MENU: “Please give me some Scrap Metal. I’d really appreciate it!”",Complete MSQ008,Give 3 Scrap Metal,"6x Agency Reputation,1x “Paeon’s Field of Flowers” Spell Card",MAIN,MENU
MSQ010,10,To Update,Kamigotchi World and You: Having a Normal One,No,"MENU: “Every area in the Kamigotchi World has a Type just like your Kami.”
MENU: “The “Normal” type is kind of self-explanatory.”
MENU: “If I had to really break it down…”
MENU: “Something with the Normal Type represents the essence of this realm in its purest form.”
MENU: “To get a better idea of what that means, scavenge three items in rooms with the Normal Type.”
",Complete MSQ009,Make a Scavenging roll in 3 rooms of the Normal type,"4x Agency Reputation,1x ""Neith’s River of Life"" Spell Card",MAIN,MENU
