address,amt
0x1e24d01d5dc7f4c49a8407d49a95dcd85d5ad559,7266
0xf896a96a3113009d91d9442e5431f92ebbdfa9c7,2467
0x14bb17c19e7f29040213254db569eb42643e8acc,2347
0x6a70843127ef87bca3a7c8b45c42fd96ec9df57a,1496
0x9335c395bce339821968419b701bf8c9cac38986,1026
0x264e0962d1da25cef2795b3ed28f35cac6ee63fc,1000
0xaf76ad61a4cd3bd3cce933e8900013ac083edb45,873
0xad82c1e54782c5d288416c138fb5a09aeb438c78,773
0x06f3895f4b53ff27f3ef2f1a91409f72f59a5407,762
0x5c10d3c2f73f8fd2215df5bfd63e603af8380c66,746
0xceb780385e065697669e33a07266303598d085fb,738
0xcd13b52e6f5e8ffb662bbd4a5fa8b27b0c287704,668
0x54372fd91473e0f6f8507a955cd45de9b9d740d5,554
0x8e63178780ea773c43822bf8da2238ae6869acab,546
0xa4ef024463eea4a3c1d0ea8112e0401c212eb406,546
0xc945cf24b16b514a69719e61175493efb70120c6,544
0xe7420f4b26a565186ccdf5c3d356c62b127c81ef,388
0x61bac790a645f1f6065a9dfbf1a1f46de6f6413b,343
0x812b9c3ea2c49bec95d0bcda4db39513baaee261,343
0xd76cc4736477f4f29359128b74d8e0154ddc667f,332
0x847c61ad02cfa4d0478cdb834bab0063de4be33a,301
0x70578c33f2fa98cff5692d355f3acd4798b8940b,269
0x5e7fdf64fc1e2fd133e640fa107e78ec0b4b8fcb,255
0x59b0c2870b3346148724a8496720a856b1844188,255
0x9a34e98eff7f1b781c42ff496e1e5419bd9f60b6,242
0x6662304e3198c8d54530fbdf02a869fa84537639,230
0xa787982969073d3b4fa4120b7d9c505fab3517d4,222
0xd364a42f4eb50fa85ae689f320d0d11324b72323,210
0xab4dfdb1c0bd5a367ba855b077eb72bf2108f6e8,201
0xb0d949bff07b7b2ec63fee137709730b7b8711d0,198
0x0f78862fb9e76a2c6ee1a7cc959c35559be9d697,181
0x34c13b6b33fbfd05673cfe152b1c6fcaec313c86,179
0x24c28dab8862bdd967977be47ee6345035908b4e,177
0x8309baef06ebef77a040960b698af828fc7d972c,176
0x708c5f0f00c4c2085a0abb3b2f035c33b2ae7f9a,170
0xe290387537b039db514ffd0edaf48f6425fff3b4,166
0x08d365ab74fdcb63b695cb32c32d9eee4b9c64c9,162
0x02f73b8e29dd6ec38bc5d8b3826051dc562c3060,157
0xa0412fefb3ed1c88e48094c71242e250cb250332,147
0xaf82aeb2e5c68de13dcc6ea8953285d55d443ae4,137
0x6067ec3f6d075523e493646f3e25138fe3495dc0,131
0xaa629b320a3ea004b8140707f5682de040915c8b,131
0x9e0c24ae311f6d008de2d712195747ec035fb4fe,131
0x103309d18a0c99f5313e482039ef86b6704c7202,124
0x4a6425903b805d8596ce377518f54c307b5a0614,122
0xc376bc1cd4f54dddb70edeb81088eb256ef4dc0c,115
0x63b22ae9c289616f72e93febab10d79751f53cee,112
0xa320d003cd6babea5fd3aa0af3759da96d1765dd,105
0x29960d1269b0d49afbc41565f1fe0f75950dc6b8,103
0xe185889d284a987773fdc1db2566a68719398599,103
0x19f8a98c3512cf16731de58f83318ec553314f46,103
0xb572c956cf39dbd525360a25f3237450dc594aa5,103
0xfa2fe9d91d5e507e88a2b6c67599c97e1b56cc7e,99
0xd6cfb52041c3da4d029708bd25bd487b015a56c8,94
0x35001a8bdb3a224d05f086094c12fd4c9009986d,93
0x557423338cfddf00195b2e3c366139977dcae7e6,90
0x0c411ccea05128bd0cf26de4f2f41d29ca37bb14,88
0x796c234260ba6130ce64ab523365e9c92d232a50,87
0xdf0b3b11c59d1a9688f9b8edd0c6f77eff3102b0,84
0xd21d3dfad36d998b992b332a61b7d87881600ef6,82
0xaa936ea829891baf58282ef15bcdf75ca5b94b5c,81
0xd465496741c1f799e202acc0a6f8f01794a6e14a,81
0x9a368619d82b2274b3b8bc1a80247638a8fd13e6,80
0xc28f7644b077b1b23d1d0fa47570a50da0f00422,78
0x40e9458ca61e4e05e641fc3aaa40841c4c4597a0,75
0x18df042849e5c3dbb21c61e62895b9c200c4d3be,73
0x3aee4143279c1819b810184214fdca4b3ed20397,72
0x318b5e2b847ab6a7f72e8b6483e9a38e38820e57,72
0x831e1c715f5c9b4d6274834aa5bdf362c3f4575f,71
0x5ebee1b9b46d34f547f64d48125fc2c931d8dcff,70
0x82411ce78f534c226474cbf36bf3c793ee5bddba,70
0xa2795f3a18def2a539cd4db915251afbde6ad30a,69
0x3f8e9a201f12ebd49b712ad34528480792fb998b,66
0xc6349c6d9eb85a3725948b96ad6663a2eed4b520,66
0x27bbb4f42bde862ff9df700cecd43f634e0b5e9b,64
0x227fa35d0aaa10227d38ae435703435f4d68753f,56
0xfd1d8cf82baf593c452e309a5dfd5429f23aac05,56
0x5579920576e1c1b9d9b4cae3b04b372e2e69381d,54
0x68712564401711cec3336120270d324730f1c2dc,53
0x4853f81413eeff3c53baef6e9efe7383ac6a24fd,51
0x9f320774f862b7903d1921711c2b3ddcf499506b,48
0x32213ae6e0a400058a97345b18edd94937d2b804,47
0xe4080d92accc95891628cdd200c9a90a2b87ecd8,47
0x2b2509ed03d4fc110b21da86039cc69f5a761834,46
0x0b0b0947ae58c46e201214f806e16d49fcda7f71,46
0x242c7296bab24aff8df5925153c6ad25daeb9279,46
0x201810bdbe6bb5d2fd49f74e2a6772a11fd81709,46
0xa5a13c2aaab567e1c926c48dba1008f6e3f99d8a,45
0x97b3297a75a416acae613e8521bac7f6a2024df2,45
0xfd5ece9b2fbe697e8e8dfe853091778ebdc7b007,45
0x01c12063b7b5b783a989a60af9f9f06534307a2d,43
0x193dbb3dda0f79988daa7ca2181941b3bb665fb9,42
0xea792240cb7684de024fa333d4deda10ca4e07ca,41
0xf23070be2eded408cd3963f50d93b22d262445cc,40
0xba91ae8ef39e2027e798f013aebc2ebd98a2af7f,39
0xe28d0fceb3d18bdc27f61e8ff7b59e9faea50a2e,38
0x6c49a3d9f234c8147d2fa9dee20e307658004288,37
0x6a3a97999497b0f840c3e0d277b55cca21bd8b14,37
0xabaf5a0a1ac26b273fde7735019679dfa1487e28,37
0x506948af56fb36d99546ce9ace04f7dc5e7b3866,36
0x5d1a494cc1092722307b060abb9b4ba2615e12c1,36
0x30aecfa5aabe187e991a8c59aca808f6a3a9e30c,35
0x99ae71b0fc7e31d09e154325cf12b53ddb539ddb,34
0xc95d5a6d7a25dda3b594f0465b27562848d2fda3,34
0xa8538beffded4b0d34938bf53c0c96b0a80ddbf5,32
