Song,Name,Room
Soundtrack/Amusement_Remaster.mp3,Amusement,"6,5"
Soundtrack/Cave_Remaster.mp3,Cave,"32,31,47,30,29"
Soundtrack/Glitter_Remaster.mp3,Glitter,11
Soundtrack/Arrival_Remaster.mp3,Arrival,"1,3,2"
Soundtrack/Mystique_Remaster.mp3,Mystique,4
Soundtrack/Shop.mp3,Shop,
Soundtrack/Abandoned.mp3,Abandoned,
Soundtrack/K1_Remaster.mp3,K1 (Deeper into the Scrap,"34,12,58,60"
Soundtrack/K2_Remaster.mp3,K2 (Airplane),"54,52"
Soundtrack/K3_Remaster.mp3,K3 (Forest Hut),"65,64"
Soundtrack/K4_Remaster.mp3,K4 (Musty Forest Path),"61,10,50,51,35"
Soundtrack/K5_Remaster.mp3,K5 (Centipedes),62
Soundtrack/Room_1_Night_Remaster.mp3,Arrival (Night Version),"1,2,3"
Soundtrack/Room_5_Night_Remaster.mp3,Amusement (Night Version),"6,5"
Soundtrack/K6_(BOP)_Loop.mp3,K6 (BOP),
Soundtrack/K7_(Kamitown)_Loop.mp3,K7 (Kamitown),
Soundtrack/K8_Cloud_Remaster.mp3,K8 (Cloud),"55,56,57,63"
Soundtrack/K9_(Lullaby)_Remaster.mp3,K9 (Lullaby),"53,26"
Soundtrack/K10_(Thunderstorm)_Loop.mp3,K10 (Thunderstorm),
Soundtrack/K11_(Flute)_Remaster.mp3,K11 (Flute),"9,36,48,33"
Soundtrack/K12_(Urban)_Loop.mp3,K12 (Urban),
Soundtrack/K13_(Piano)_Remaster.mp3,K13 (Piano),"25,37"
Soundtrack/K14_(Dungeon)_Loop.mp3,K14 (Dungeon),59
Soundtrack/Kami_Christmas_Loop.mp3,Kami Christmas,
Soundtrack/Minas_Shop_Remaster.mp3,Minas Shop,13
Soundtrack/Market_Remaster.mp3,Market,66
,,
,,
,,
,,
,,
,,
Soundtrack/15_-_Temple_Cave.mp3,15 - Temple Cave,15
,,
Soundtrack/16_-_Techno_Temple.mp3,16 - Techno Temple,16
Soundtrack/18_-_Cave_Crossroads.mp3,18 - Cave Crossroads,18
Soundtrack/19_-_Violence_Temple.mp3,19 - Temple of the Wheel,19
Soundtrack/67_-_Collapsed_Tunnel.mp3,67 - Collapsed Tunnel,67
Soundtrack/68_-_Slippery_Pit.mp3,68 - Slippery Pit,68
Soundtrack/69_-_Lotus_Pool.mp3,69 - Lotus Pool,69
Soundtrack/70_-_Still_Stream.mp3,70 - Still Stream,70
Soundtrack/71_-_Shabby_Deck.mp3,71 - Shabby Deck,71
Soundtrack/72_-_Abandoned_Room.mp3,72 - Hatch to Nowhere,72
Soundtrack/73_-_Broken_Tube.mp3,73 - Broken Tube,73
Soundtrack/74_-_Engraved_Door.mp3,74 - Engraved Door,74
Soundtrack/75_-_Flood_Mural.mp3,75 - Flood Mural,75
Soundtrack/76_-_Fungus_Garden.mp3,76 - Fungus Garden,76
Soundtrack/77_-_Thriving_Mushrooms.mp3,77 - Thriving Mushrooms,77
Soundtrack/78_-_Toadstool_Platforms.mp3,78 - Toadstool Platforms,78
Soundtrack/79_-_Abandoned_Camp.mp3,79 - Abandoned Campsite,79
Soundtrack/80_-_Radiant_Crystal.mp3,80 - Radiant Crystal,80
Soundtrack/81_-_Charcoal_Mural.mp3,81 - Charcoal Mural,81
Soundtrack/82_-_Geometric_Cliffs.mp3,82 - Geometric Cliffs,82
Soundtrack/83_-_Canyon_Bridge.mp3,83 - Canyon Bridge,83
Soundtrack/84_-_Reinforced_Tunnel.mp3,84 - Reinforced Tunnel,84
Soundtrack/85_-_Giants_Palm.mp3,85 - Giant’s Palm,85
Soundtrack/86_-_Guardian_Skull.mp3,86 - Guardian Skull,86
Soundtrack/87_-_Navel_Temple.mp3,87 - Sacrarium,87
Soundtrack/X_-_Sextant_Rooms.mp3,88/89 - Sexant Rooms,"88,89"
Soundtrack/x_-_Sextant_Window.mp3,90 - Scenic View,90
