Image,Index,Name,Tier,Tuning,Health,Power,Violence,Harmony,Hex code,Rarity,BPs
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_blue.png,0,Blue,9,2,0,0,0,2,A2F5F5,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_blue-grey.png,1,Blue-Grey,9,2,0,0,2,0,6D9295,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_default_green.png,2,Default Green,9,2,20,0,0,0,E1E3A4,Common,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_green.png,3,Alt Green,9,2,0,2,0,0,B9FF98,Common,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_grey.png,4,Grey!,7,4,40,0,0,0,867C7F,Rare,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_hot_pink.png,5,Hot Pink,9,2,10,0,1,0,FC5BA3,Common,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_lavender.png,6,Lavender!,7,4,0,0,4,0,C1A6FF,Rare,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_matrix_1_black_on_green_0000.png,7,BOG,6,5,20,3,0,0,,Epic,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_matrix_1_bsod_0000.png,8,"BSOD ",6,5,20,0,0,3,,Epic,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_matrix_1_green_on_black_0000.png,9,GOB,6,5,20,0,3,0,,Epic,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_matrix_1_purple_0000.png,10,PURPLE!!!,6,5,0,5,0,0,,Epic,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_matrix_1_red_0000.png,11,RED!!!,6,5,0,0,5,0,,Epic,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_matrix_1_white_on_black_0000.png,12,GREY!!!!,6,5,0,0,0,5,,Epic,500
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_mustard.png,13,Mustard,9,2,10,0,0,1,F5D769,Common,400
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_orange.png,14,Orange,9,2,0,1,0,1,FF901C,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_pink.png,15,Pink,9,2,10,0,0,1,F09EE7,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_purple.png,16,Purple,9,2,10,0,1,0,C38DD9,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_red.png,17,Red!,7,4,0,4,0,0,D1412C,Rare,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_rust.png,18,Rust,9,2,10,1,0,0,BD685B,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_white.png,19,White!,7,4,0,0,0,4,F7F2ED,Rare,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_yellow.png,20,Yellow,9,2,0,1,1,0,FFF981,Common,300
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_butterfly_0000.png,21,Butterfly,4,7,0,0,7,0,,,
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_maze.png,22,Maze,4,7,0,3,4,0,,,
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_nature_1.png,23,Nature 1,4,7,30,0,2,2,,,
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_nature_2.png,24,Nature 2,4,7,30,2,0,2,,,
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_nature_3.png,25,Nature 3,4,7,30,2,2,0,,,
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_textbook.png,26,Textbook,4,7,20,0,0,5,,,
Background%203e7cd62360dd4f33afd483b2f3e0b7f7/bg_graveyard_0000.png,27,Graveyard,4,7,0,7,0,0,,,
