Image,Index,Name,Tier,Tuning,Health,Power,Violence,Harmony,Rarity,Hex,BPs,Done
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810304.gif,0,1BIT BW,6,5,0,0,0,5,Epic,,50,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810305.gif,1,1BIT GREEN,6,5,0,5,0,0,Epic,,50,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810306.gif,2,1BIT PINK,6,5,50,0,0,0,Epic,,50,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810307.gif,3,1BIT WR,6,5,0,0,5,0,Epic,,50,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810308.gif,4,Blue,9,2,0,0,0,2,Common,3BECFF,1300,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810309.gif,5,Green,9,2,0,0,1,1,Common,42F771,1300,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810310.gif,6,Grey,8,3,0,0,3,0,Uncommon,AAA398,500,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810311.gif,7,Lime Green,8,3,30,0,0,0,Uncommon,ADFF3A,500,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810312.gif,8,Orange,9,2,20,0,0,0,Common,FFB226,1300,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810313.gif,9,Pink,9,2,0,2,0,0,Common,FF77E1,1300,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810314.gif,10,Purple,8,3,0,3,0,0,Uncommon,BF6CFF,500,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810315.gif,11,Red,9,2,0,0,2,0,Common,FF2B1E,1300,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810316.gif,12,White,8,3,0,0,0,3,Uncommon,F7F2ED,500,Yes
Color%209bd250d1329b4e1d9e248cb0b090db60/4311810317.gif,13,Yellow,9,2,0,1,1,0,Common,FFED15,1300,Yes
