Name (Optional),Status,Output Type,Index,Output Item,Output Index,Output Amount,Minimum Account Level,Account XP Output,MUSU Cost,Stamina Cost,🥫Tools,Tool Index,Location,Input 1,Input 1 Index,Input 1 Amount,Input 2,Input 2 Index,Input 2 Amount,Input 3,Input 3 Index,Input 3 Amount
Brew XP Potion,For Implementation,Potion,1,XP Potion (https://www.notion.so/XP-Potion-14b0220c388480f3a273df0c7457ca16?pvs=21),11401,1,1,50,0,20,Portable Burner (https://www.notion.so/Portable-Burner-1520220c3884807ab3ebc94956915201?pvs=21),23101,"Temple by the Waterfall (https://www.notion.so/Temple-by-the-Waterfall-ef188260d2b443de9405d456940b91c2?pvs=21), Misty Riverside (https://www.notion.so/Misty-Riverside-36c68d06a812460099874836e90fcb9a?pvs=21), River Crossing (https://www.notion.so/River-Crossing-02604558c2644f83ae042f7edd5ca0a8?pvs=21)",Plastic Bottle (https://www.notion.so/Plastic-Bottle-d9f91b74cddf41bf9c2dcf2aa18aacdd?pvs=21),103,1,Pine Pollen (https://www.notion.so/Pine-Pollen-1fdcc4c94ed7485a997171774a79f9da?pvs=21),107,250,,,
Brew Greater XP Potion,For Implementation,Potion,2,Greater XP Potion (https://www.notion.so/Greater-XP-Potion-14b0220c388480e39e36ffa3d117a25a?pvs=21),11402,1,20,1000,0,50,Portable Burner (https://www.notion.so/Portable-Burner-1520220c3884807ab3ebc94956915201?pvs=21),23101,"Temple by the Waterfall (https://www.notion.so/Temple-by-the-Waterfall-ef188260d2b443de9405d456940b91c2?pvs=21), Misty Riverside (https://www.notion.so/Misty-Riverside-36c68d06a812460099874836e90fcb9a?pvs=21), River Crossing (https://www.notion.so/River-Crossing-02604558c2644f83ae042f7edd5ca0a8?pvs=21)",Glass Jar (https://www.notion.so/Glass-Jar-6024987c58ad46558524f508783b39c8?pvs=21),106,1,Pine Pollen (https://www.notion.so/Pine-Pollen-1fdcc4c94ed7485a997171774a79f9da?pvs=21),107,2500,,,
Brew Respec Potion,For Implementation,Potion,3,Respec Potion (https://www.notion.so/Respec-Potion-14b0220c38848042bd94d35c2e751455?pvs=21),11403,1,5,200,0,50,Portable Burner (https://www.notion.so/Portable-Burner-1520220c3884807ab3ebc94956915201?pvs=21),23101,"Temple by the Waterfall (https://www.notion.so/Temple-by-the-Waterfall-ef188260d2b443de9405d456940b91c2?pvs=21), Misty Riverside (https://www.notion.so/Misty-Riverside-36c68d06a812460099874836e90fcb9a?pvs=21), River Crossing (https://www.notion.so/River-Crossing-02604558c2644f83ae042f7edd5ca0a8?pvs=21)",Plastic Bottle (https://www.notion.so/Plastic-Bottle-d9f91b74cddf41bf9c2dcf2aa18aacdd?pvs=21),103,1,Shredded Mint (https://www.notion.so/Shredded-Mint-14b0220c3884800fa7f8dd9140b25f72?pvs=21),114,500,,,
"Brew Grace Potion ",For Implementation,Potion,4,"Grace Potion 
 (https://www.notion.so/Grace-Potion-14b0220c3884800398bacdf943a881de?pvs=21)",11404,1,15,150,0,25,Portable Burner (https://www.notion.so/Portable-Burner-1520220c3884807ab3ebc94956915201?pvs=21),23101,"Temple by the Waterfall (https://www.notion.so/Temple-by-the-Waterfall-ef188260d2b443de9405d456940b91c2?pvs=21), Misty Riverside (https://www.notion.so/Misty-Riverside-36c68d06a812460099874836e90fcb9a?pvs=21), River Crossing (https://www.notion.so/River-Crossing-02604558c2644f83ae042f7edd5ca0a8?pvs=21)",Plastic Bottle (https://www.notion.so/Plastic-Bottle-d9f91b74cddf41bf9c2dcf2aa18aacdd?pvs=21),103,1,Essence of Daffodil (https://www.notion.so/Essence-of-Daffodil-14b0220c38848042ab4cc23d3c6d9e5e?pvs=21),113,100,Black Poppy Extract (https://www.notion.so/Black-Poppy-Extract-14b0220c38848086a79cd53bdadd6f13?pvs=21),115,50
Brew Bounty Potion,For Implementation,Potion,5,Bless Potion (https://www.notion.so/Bless-Potion-14b0220c388480c481b5ecaa7edcaf3f?pvs=21),11405,1,1,50,0,15,Portable Burner (https://www.notion.so/Portable-Burner-1520220c3884807ab3ebc94956915201?pvs=21),23101,"Temple by the Waterfall (https://www.notion.so/Temple-by-the-Waterfall-ef188260d2b443de9405d456940b91c2?pvs=21), Misty Riverside (https://www.notion.so/Misty-Riverside-36c68d06a812460099874836e90fcb9a?pvs=21), River Crossing (https://www.notion.so/River-Crossing-02604558c2644f83ae042f7edd5ca0a8?pvs=21)",Plastic Bottle (https://www.notion.so/Plastic-Bottle-d9f91b74cddf41bf9c2dcf2aa18aacdd?pvs=21),103,1,Essence of Daffodil (https://www.notion.so/Essence-of-Daffodil-14b0220c38848042ab4cc23d3c6d9e5e?pvs=21),113,100,,,
Extract Pine Pollen,For Implementation,Material,6,Pine Pollen (https://www.notion.so/Pine-Pollen-1fdcc4c94ed7485a997171774a79f9da?pvs=21),107,500,1,25,0,10,Spice Grinder (https://www.notion.so/Spice-Grinder-1520220c3884805f98ddcad8348b1139?pvs=21),23100,,Pine Cone (https://www.notion.so/Pine-Cone-fbb7895c3c1e41b6b6283f90811b7910?pvs=21),104,1,,,,,,
Extract Microplastics,For Implementation,Material,7,Microplastics (https://www.notion.so/Microplastics-14b0220c388480849224e67f4094e5ad?pvs=21),112,500,10,100,0,30,Spice Grinder (https://www.notion.so/Spice-Grinder-1520220c3884805f98ddcad8348b1139?pvs=21),23100,,Plastic Bottle (https://www.notion.so/Plastic-Bottle-d9f91b74cddf41bf9c2dcf2aa18aacdd?pvs=21),103,1,,,,,,
Extract Daffodil,For Implementation,Material,8,Essence of Daffodil (https://www.notion.so/Essence-of-Daffodil-14b0220c38848042ab4cc23d3c6d9e5e?pvs=21),113,500,1,25,0,10,Spice Grinder (https://www.notion.so/Spice-Grinder-1520220c3884805f98ddcad8348b1139?pvs=21),23100,,Daffodil (https://www.notion.so/Daffodil-07dc4bfb601d4476bf39600d5ac8c6c1?pvs=21),110,1,,,,,,
Extract Mint,For Implementation,Material,9,Shredded Mint (https://www.notion.so/Shredded-Mint-14b0220c3884800fa7f8dd9140b25f72?pvs=21),114,500,5,100,0,20,Spice Grinder (https://www.notion.so/Spice-Grinder-1520220c3884805f98ddcad8348b1139?pvs=21),23100,,Mint (https://www.notion.so/Mint-41894f83cecd4f69b2367c52e79d56dd?pvs=21),111,1,,,,,,
Extract Black Poppy,For Implementation,Material,10,Black Poppy Extract (https://www.notion.so/Black-Poppy-Extract-14b0220c38848086a79cd53bdadd6f13?pvs=21),115,500,10,250,0,20,Spice Grinder (https://www.notion.so/Spice-Grinder-1520220c3884805f98ddcad8348b1139?pvs=21),23100,,Black Poppy (https://www.notion.so/Black-Poppy-3945c590048e4c54b92cc0fd7ff51cde?pvs=21),109,1,,,,,,
