Image,Index,Name,Status,Type,For,Description,Health,MaxHealth,Power,Violence,Harmony,Slots,XP,Stamina,Room,UseFlags,DTIndices,DTWeights,IgnoreContract,Index t1
Items%201b9894152b7f4649a68169aa3a6bcffe/musu.png,1,MUSU,Ingame,Misc,,Kamigotchi kurrency,,,,,,,,,,,,,No,1
Items%201b9894152b7f4649a68169aa3a6bcffe/kamigotchi_ticket_native.png,2,Gacha Ticket,Ingame,Misc,,"Redeemable for one Kami. You should take this to the vending machine… ",,,,,,,,,,,,,No,
Items%201b9894152b7f4649a68169aa3a6bcffe/passport_yellow.png,3,Kamigotchi World Passport,Ingame,NFT,,,,,,,,,,,,,,,Yes,2
Items%201b9894152b7f4649a68169aa3a6bcffe/wooden_stick_native.png,101,Wooden Stick,Ingame,Material,,"Wood in its unprocessed form. Grows on trees. ",,,,,,,,,,,,,No,11006
Items%201b9894152b7f4649a68169aa3a6bcffe/stone_native.png,102,Stone,Ingame,Material,,"It’s just a stone. Can be used to get Stone. ",,,,,,,,,,,,,No,11002
Items%201b9894152b7f4649a68169aa3a6bcffe/plastic_bottle_native.png,103,Plastic Bottle,Ingame,Material,,"Can be reprocessed into valuable raw Microplastics. ",,,,,,,,,,,,,No,11001
Items%201b9894152b7f4649a68169aa3a6bcffe/pine_cone_native.png,104,Pine Cone,Ingame,Material,,"It’s a pine cone. 

Slightly sacred. ",,,,,,,,,,,,,No,11008
Items%201b9894152b7f4649a68169aa3a6bcffe/scrap_metal_native.png,105,Scrap Metal,Ingame,Material,,A small chunk of scrap metal. Maybe useful if processed.,,,,,,,,,,,,,No,11009
Items%201b9894152b7f4649a68169aa3a6bcffe/glass_jar_native.png,106,Glass Jar,Ingame,Material,,"A somehow-unbroken jar of clear glass. ",,,,,,,,,,,,,No,11004
Items%201b9894152b7f4649a68169aa3a6bcffe/pine_pollen_native.png,107,Pine Pollen,Ingame,Material,,"Apparently some people think this is very good for you. There’s some sort of Trapezoid on the label. ",,,,,,,,,,,,,No,11005
Items%201b9894152b7f4649a68169aa3a6bcffe/red_amber_crystal_native.png,108,Red Amber Crystal,Ingame,Material,,"A crystal of pure red amber, formed deep in the forest.",,,,,,,,,,,,,No,11010
Items%201b9894152b7f4649a68169aa3a6bcffe/black_poppy_native.png,109,Black Poppy,Ingame,Material,,"You can’t tell whether it’s a very dark purple or actually black. A rare flower. ",,,,,,,,,,,,,No,11011
