Files & media,Index,Exits,All Exits,Name,Description,Z,Enabled,Y,Status,X,Tags,Node,Level Limit,Affinity,Ratio,Scav Cost,Item Drop Indices,Item Drop Weights
,0,1,1[Z1],deadzone,This room is for debugging! You may not enter.,0,true,0,Done,0,,NONE,,,,,,
Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room1a.png,1,20,"20[Z2], 29",Misty Riverside,The air is quiet and the trees grow thick overhead. In each direction the murky river disappears into mist and darkness.,1,true,1,Ingame,3,Spawn,MUSU,15,Eerie,0.8,100,"[11002, 11001]","[9, 7]"
"Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room2a.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room2b.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room2c.png",2,13,"3,13, 29",Tunnel of Trees,A gate marks the boundary between the forest and the plains. The incongruous “SHOP” door has a cool glow.,1,true,3,Ingame,3,,MUSU,15,Normal,1,100,"[11002, 11006]","[9, 9]"
"Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room3a.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room3b.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room3c.png",3,,"2, 30",Torii Gate,The Torii gate standing here radiates an aura of spiritual significance. Piles of scrap and garbage rise like mountains on the horizon.,1,true,4,Ingame,3,,MUSU,15,Normal,1.2,100,"[11002, 11006, 111]","[9, 9, 4]"
"Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room4a.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room4b.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room4c.png",4,,"30, 34, 47",Vending Machine,"A vending machine stands deep in the scrap, well stocked and operating despite the remote location and cut power cord.",1,true,6,Ingame,3,Mint,NONE,,None,0,,,
"Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room5a.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room5b.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room5c.png",5,,"31, 32",Restricted Area,"A restricted area, but no one is watching. Follow this road lined with cherry trees to reach an office complex. ",1,true,9,Ingame,3,,MUSU,,Normal,1,100,"[11002, 11006]","[9, 9]"
"Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room6a.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room6b.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room6c.png",6,28,"28[Z5], 32",Labs Entrance,The exterior of this building was designed to resemble a shrine almost as much as an office.,1,true,10,Ingame,4,,MUSU,,Eerie,1,100,[11002],[9]
Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room7a.png,7,,"41, 14","Hallway 6 ","The doors close around a sparsely decorated lobby. A blue roof and white walls, with blue skirting framing an elevator. ",5,false,,Needs Editing,,,,,,,,,
Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room8a.png,8,,38,Junk Shop,The electrical room in the basement has been converted into a living space and workshop. Do people live like this?,5,false,,Needs Editing,,Equip Shop,,,,,,,
"Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room9a.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room9b.png, Rooms%2037731dc2c226407c84e4fbb8c0bb32d5/room9c.png",9,,"33, 36, 48",Forest: Old Growth,You step into the forest and seem to enter a primordial age. The buzz of giant insects overwhelms your hearing.,1,true,8,Ingame,5,,MUSU,,Insect,1.1,200,"[11006, 11008]","[9, 7]"
